DateOccured,TMAX  ,TMIN  
2008-01-01,-17,-106
2008-01-02,-50,-133
2008-01-03,11,-117
2008-01-04,72,-22
2008-01-05,144,61
2008-01-06,228,133
2008-01-07,228,117
2008-01-08,189,28
2008-01-09,72,0
2008-01-10,78,6
2008-01-11,67,-17
2008-01-12,122,-17
2008-01-13,17,-22
2008-01-14,22,-61
2008-01-15,22,-89
2008-01-16,78,-39
2008-01-17,39,-56
2008-01-18,61,-89
2008-01-19,-72,-139
2008-01-20,-56,-150
2008-01-21,44,-89
2008-01-22,11,-72
2008-01-23,39,-94
2008-01-24,-61,-144
2008-01-25,-17,-128
2008-01-26,122,-17
2008-01-27,150,-33
2008-01-28,133,0
2008-01-29,228,-94
2008-01-30,-11,-117
2008-01-31,-11,-50
2008-02-01,-6,-67
2008-02-02,89,-56
2008-02-03,44,-67
2008-02-04,239,22
2008-02-05,200,17
2008-02-06,28,6
2008-02-07,39,-6
2008-02-08,100,-6
2008-02-09,139,-6
2008-02-10,-6,-100
2008-02-11,-67,-111
2008-02-12,-50,-89
2008-02-13,6,-117
2008-02-14,122,-39
2008-02-15,50,-39
2008-02-16,28,-56
2008-02-17,133,22
2008-02-18,28,-72
2008-02-19,0,-106
2008-02-20,0,-94
2008-02-21,-39,-83
2008-02-22,-28,-50
2008-02-23,33,-33
2008-02-24,39,-11
2008-02-25,50,17
2008-02-26,22,-28
2008-02-27,28,-39
2008-02-28,39,-67
2008-02-29,111,-6
2008-03-01,172,0
2008-03-02,256,56
2008-03-03,189,-22
2008-03-04,11,-83
2008-03-05,67,-111
2008-03-06,22,-22
2008-03-07,6,-50
2008-03-08,11,-94
2008-03-09,100,-33
2008-03-10,67,-17
2008-03-11,150,-28
2008-03-12,217,22
2008-03-13,156,61
2008-03-14,156,78
2008-03-15,111,39
2008-03-16,89,17
2008-03-17,106,50
2008-03-18,139,67
2008-03-19,83,33
2008-03-20,161,17
2008-03-21,211,78
2008-03-22,78,0
2008-03-23,50,-11
2008-03-24,89,-28
2008-03-25,178,50
2008-03-26,167,56
2008-03-27,172,33
2008-03-28,89,17
2008-03-29,106,0
2008-03-30,167,72
2008-03-31,189,106
2008-04-01,106,33
2008-04-02,128,6
2008-04-03,111,56
2008-04-04,100,39
2008-04-05,161,17
2008-04-06,194,50
2008-04-07,194,89
2008-04-08,206,72
2008-04-09,139,44
2008-04-10,217,106
2008-04-11,167,67
2008-04-12,67,28
2008-04-13,61,22
2008-04-14,111,17
2008-04-15,172,11
2008-04-16,233,89
2008-04-17,256,150
2008-04-18,183,89
2008-04-19,144,83
2008-04-20,222,106
2008-04-21,256,106
2008-04-22,261,150
2008-04-23,272,150
2008-04-24,228,183
2008-04-25,267,89
2008-04-26,178,61
2008-04-27,144,67
2008-04-28,117,33
2008-04-29,144,17
2008-04-30,267,78
2008-05-01,228,183
2008-05-02,250,150
2008-05-03,167,83
2008-05-04,217,56
2008-05-05,256,89
2008-05-06,256,122
2008-05-07,222,161
2008-05-08,161,128
2008-05-09,156,106
2008-05-10,194,78
2008-05-11,172,78
2008-05-12,206,44
2008-05-13,217,111
2008-05-14,200,128
2008-05-15,150,94
2008-05-16,222,67
2008-05-17,278,156
2008-05-18,228,128
2008-05-19,239,117
2008-05-20,200,117
2008-05-21,233,100
2008-05-22,178,128
2008-05-23,233,133
2008-05-24,200,144
2008-05-25,250,156
2008-05-26,272,183
2008-05-27,250,117
2008-05-28,222,106
2008-05-29,267,111
2008-05-30,317,200
2008-05-31,311,200
2008-06-01,311,183
2008-06-02,289,189
2008-06-03,311,217
2008-06-04,311,200
2008-06-05,322,233
2008-06-06,294,217
2008-06-07,333,250
2008-06-08,339,250
2008-06-09,289,200
2008-06-10,300,183
2008-06-11,306,211
2008-06-12,339,239
2008-06-13,267,194
2008-06-14,306,183
2008-06-15,328,200
2008-06-16,289,167
2008-06-17,272,139
2008-06-18,289,156
2008-06-19,300,189
2008-06-20,278,189
2008-06-21,306,189
2008-06-22,278,183
2008-06-23,289,172
2008-06-24,283,178
2008-06-25,339,228
2008-06-26,306,206
2008-06-27,317,222
2008-06-28,272,217
2008-06-29,244,194
2008-06-30,283,167
2008-07-01,300,183
2008-07-02,317,200
2008-07-03,272,189
2008-07-04,261,178
2008-07-05,278,167
2008-07-06,322,189
2008-07-07,344,261
2008-07-08,339,222
2008-07-09,306,222
2008-07-10,317,200
2008-07-11,339,244
2008-07-12,328,200
2008-07-13,306,172
2008-07-14,322,189
2008-07-15,328,211
2008-07-16,339,228
2008-07-17,339,222
2008-07-18,344,233
2008-07-19,344,244
2008-07-20,372,256
2008-07-21,367,222
2008-07-22,278,206
2008-07-23,283,206
2008-07-24,222,200
2008-07-25,289,200
2008-07-26,322,222
2008-07-27,328,206
2008-07-28,306,211
2008-07-29,356,239
2008-07-30,256,222
2008-07-31,300,217
2008-08-01,344,228
2008-08-02,311,239
2008-08-03,311,206
2008-08-04,367,244
2008-08-05,356,244
2008-08-06,317,222
2008-08-07,294,206
2008-08-08,283,189
2008-08-09,283,178
2008-08-10,283,194
2008-08-11,261,156
2008-08-12,283,183
2008-08-13,283,194
2008-08-14,283,194
2008-08-15,289,183
2008-08-16,278,167
2008-08-17,283,167
2008-08-18,289,167
2008-08-19,289,167
2008-08-20,294,200
2008-08-21,278,211
2008-08-22,306,222
2008-08-23,339,228
2008-08-24,283,200
2008-08-25,267,167
2008-08-26,283,194
2008-08-27,300,183
2008-08-28,322,211
2008-08-29,294,206
2008-08-30,300,183
2008-08-31,322,172
2008-09-01,344,217
2008-09-02,328,233
2008-09-03,261,206
2008-09-04,233,172
2008-09-05,178,139
2008-09-06,233,122
2008-09-07,250,167
2008-09-08,283,144
2008-09-09,217,133
2008-09-10,256,122
2008-09-11,283,183
2008-09-12,283,222
2008-09-13,311,256
2008-09-14,267,144
2008-09-15,172,144
2008-09-16,228,133
2008-09-17,267,128
2008-09-18,272,144
2008-09-19,283,167
2008-09-20,228,167
2008-09-21,250,172
2008-09-22,283,161
2008-09-23,300,150
2008-09-24,300,178
2008-09-25,289,167
2008-09-26,272,150
2008-09-27,272,133
2008-09-28,289,161
2008-09-29,233,156
2008-09-30,194,111
2008-10-01,194,100
2008-10-02,189,78
2008-10-03,233,94
2008-10-04,239,100
2008-10-05,272,122
2008-10-06,267,139
2008-10-07,211,144
2008-10-08,211,106
2008-10-09,244,100
2008-10-10,256,106
2008-10-11,283,144
2008-10-12,289,161
2008-10-13,239,206
2008-10-14,217,167
2008-10-15,256,111
2008-10-16,161,78
2008-10-17,172,56
2008-10-18,167,72
2008-10-19,189,56
2008-10-20,211,83
2008-10-21,167,83
2008-10-22,167,100
2008-10-23,122,78
2008-10-24,122,67
2008-10-25,161,50
2008-10-26,178,56
2008-10-27,83,22
2008-10-28,106,-17
2008-10-29,183,11
2008-10-30,228,33
2008-10-31,239,94
2008-11-01,233,94
2008-11-02,244,111
2008-11-03,250,117
2008-11-04,233,89
2008-11-05,239,133
2008-11-06,200,106
2008-11-07,111,50
2008-11-08,67,28
2008-11-09,50,-22
2008-11-10,56,-33
2008-11-11,100,39
2008-11-12,144,83
2008-11-13,172,56
2008-11-14,139,67
2008-11-15,67,22
2008-11-16,139,-11
2008-11-17,67,-17
2008-11-18,39,-39
2008-11-19,150,6
2008-11-20,33,-28
2008-11-21,0,-67
2008-11-22,33,-39
2008-11-23,111,-56
2008-11-24,117,44
2008-11-25,67,-22
2008-11-26,128,-33
2008-11-27,139,-11
2008-11-28,100,17
2008-11-29,78,22
2008-11-30,22,6
2008-12-01,11,-22
2008-12-02,89,-39
2008-12-03,94,-39
2008-12-04,6,-72
2008-12-05,0,-89
2008-12-06,72,-72
2008-12-07,0,-94
2008-12-08,117,0
2008-12-09,128,-6
2008-12-10,11,-39
2008-12-11,39,-56
2008-12-12,56,-6
2008-12-13,94,6
2008-12-14,161,-17
2008-12-15,-17,-106
2008-12-16,-56,-100
2008-12-17,-33,-61
2008-12-18,11,-50
2008-12-19,128,-11
2008-12-20,28,-89
2008-12-21,-89,-150
2008-12-22,-56,-156
2008-12-23,33,-56
2008-12-24,56,-56
2008-12-25,17,-89
2008-12-26,189,11
2008-12-27,200,6
2008-12-28,89,-11
2008-12-29,139,11
2008-12-30,189,-17
2008-12-31,-11,-67
2009-01-01,61,-56
2009-01-02,83,-11
2009-01-03,161,39
2009-01-04,144,-50
2009-01-05,-11,-72
2009-01-06,6,-28
2009-01-07,50,-11
2009-01-08,17,-61
2009-01-09,161,0
2009-01-10,117,-50
2009-01-11,56,-61
2009-01-12,61,-50
2009-01-13,22,-94
2009-01-14,44,-144
2009-01-15,-106,-178
2009-01-16,-89,-178
2009-01-17,72,-89
2009-01-18,33,6
2009-01-19,11,-78
2009-01-20,-11,-78
2009-01-21,89,-72
2009-01-22,144,-39
2009-01-23,67,-44
2009-01-24,-44,-122
2009-01-25,-78,-106
2009-01-26,-67,-94
2009-01-27,-72,-83
2009-01-28,-28,-111
2009-01-29,22,-61
2009-01-30,11,-67
2009-01-31,128,-83
2009-02-01,83,6
2009-02-02,44,-33
2009-02-03,-6,-133
2009-02-04,-39,-128
2009-02-05,72,-78
2009-02-06,189,-11
2009-02-07,211,122
2009-02-08,144,11
2009-02-09,217,44
2009-02-10,217,111
2009-02-11,139,39
