DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2008-02-06,2012-09,1,115400,7,52,888760.2,1031986.0,28.0,6.0
2008-08-01,2012-09,1,121000,1,5,885362.3,1003846.0,344.0,228.0
2008-08-17,2012-09,1,67601,2,13,881993.5,1011424.0,283.0,167.0
2009-09-10,2012-09,1,115400,7,50,884807.3,1037849.0,283.0,183.0
2010-01-01,2012-09,1,115400,7,50,883903.7,1033817.0,-56.0,-117.0
2010-01-18,2012-09,-1,67701,7,38,0.0,0.0,78.0,11.0
2010-01-28,2012-09,1,121000,3,21,902034.6,1007658.0,-6.0,-72.0
2010-07-01,2012-09,1,115400,4,35,907512.3,1019461.0,283.0,172.0
2010-12-03,2012-09,1,111110,9,38,892000.5,1021471.0,28.0,-33.0
2010-12-15,2012-09,1,265321,1,16,895743.1,1001846.0,-11.0,-56.0
2011-01-01,2012-09,1,115400,9,38,889537.3,1021388.0,44.0,-50.0
2011-05-01,2012-09,-1,44023,7,50,0.0,0.0,189.0,72.0
2011-05-01,2012-09,-1,117000,7,48,0.0,0.0,189.0,72.0
2011-05-12,2012-09,1,115400,7,78,885188.8,1030817.0,311.0,194.0
2011-06-21,2012-09,-1,71013,4,33,0.0,0.0,306.0,211.0
2011-09-01,2012-09,1,115400,6,71,893392.9,1039715.0,400.0,278.0
2011-09-01,2012-09,1,91123,5,0,0.0,0.0,400.0,278.0
2011-09-07,2012-09,1,266999,4,35,906569.1,1017219.0,261.0,106.0
2011-09-10,2012-09,1,71013,5,64,906308.5,1031553.0,244.0,178.0
2011-09-18,2012-09,1,65701,2,9,873408.8,1004273.0,217.0,156.0
2011-10-01,2012-09,1,67601,3,23,900085.6,1011482.0,194.0,67.0
2011-11-01,2012-09,1,264100,7,50,885743.6,1035955.0,239.0,56.0
2011-11-01,2012-09,1,115400,1,5,888183.8,1001185.0,239.0,56.0
2011-11-06,2012-09,-1,65701,4,36,0.0,0.0,183.0,100.0
2011-11-15,2012-09,1,67601,2,13,885361.5,1009440.0,183.0,111.0
2012-01-01,2012-09,1,179220,6,74,899207.4,1054332.0,133.0,11.0
2012-01-01,2012-09,1,72113,4,35,910399.9,1018787.0,133.0,11.0
2012-01-09,2012-09,1,211000,9,31,896782.9,1013713.0,111.0,-22.0
2012-01-16,2012-09,1,67601,5,60,903187.1,1026207.0,200.0,50.0
2012-01-19,2012-09,1,111110,4,36,906055.1,1017127.0,17.0,-78.0
2012-01-31,2012-09,1,71030,7,48,0.0,0.0,189.0,106.0
2012-02-09,2012-09,1,115400,3,15,890991.8,1004701.0,44.0,-17.0
2012-02-26,2012-09,1,266999,6,72,892956.1,1044271.0,183.0,-6.0
2012-02-27,2012-09,1,111110,4,36,906055.1,1017127.0,117.0,39.0
2012-03-01,2012-09,1,67601,2,14,883655.6,1006000.0,189.0,28.0
2012-03-06,2012-09,1,67601,7,46,877736.1,1025952.0,239.0,67.0
2012-03-09,2012-09,1,111110,4,36,906055.1,1017127.0,128.0,0.0
2012-03-11,2012-09,1,69602,7,48,879034.9,1028355.0,167.0,28.0
2012-03-15,2012-09,-1,71013,4,33,0.0,0.0,272.0,172.0
2012-03-25,2012-09,1,265321,7,50,885743.6,1035955.0,244.0,128.0
2012-04-01,2012-09,1,121000,2,12,0.0,0.0,317.0,161.0
2012-04-01,2012-09,1,171300,6,69,891888.1,1035363.0,317.0,161.0
2012-04-03,2012-09,1,264100,3,23,899940.5,1010254.0,283.0,172.0
2012-04-07,2012-09,1,264100,7,50,882762.5,1034211.0,206.0,56.0
2012-04-10,2012-09,1,264100,6,74,896459.3,1048464.0,161.0,67.0
2012-04-15,2012-09,1,71013,6,74,897050.1,1052508.0,256.0,144.0
2012-04-28,2012-09,-1,71013,4,35,0.0,0.0,267.0,133.0
2012-05-01,2012-09,1,67601,7,78,883547.9,1032256.0,294.0,156.0
2012-05-01,2012-09,1,51330,3,15,888024.9,1006039.0,294.0,156.0
2012-05-02,2012-09,1,142320,3,15,892989.2,1007428.0,322.0,222.0
2012-05-10,2012-09,1,266999,8,56,898168.6,1028666.0,244.0,111.0
2012-05-14,2012-09,1,71013,1,3,889607.0,996552.9,267.0,122.0
2012-05-14,2012-09,1,101000,4,35,908024.9,1017116.0,267.0,122.0
2012-05-18,2012-09,1,264100,9,39,889680.1,1017950.0,306.0,133.0
2012-05-23,2012-09,1,115100,2,8,878294.9,998118.1,294.0,133.0
2012-05-24,2012-09,1,115400,1,5,889322.9,997467.8,333.0,189.0
2012-05-30,2012-09,1,65701,1,5,886604.3,998599.5,283.0,189.0
2012-05-31,2012-09,1,67701,2,12,881898.8,1013889.0,200.0,117.0
2012-06-01,2012-09,1,21000,7,50,883933.8,1036617.0,217.0,94.0
2012-06-01,2012-09,1,51122,9,31,897190.4,1014302.0,217.0,94.0
2012-06-01,2012-09,1,121000,2,8,878653.4,1004650.0,217.0,94.0
2012-06-01,2012-09,1,117000,4,35,908187.4,1018534.0,217.0,94.0
2012-06-01,2012-09,1,51322,8,54,890021.6,1028074.0,217.0,94.0
2012-06-01,2012-09,1,266999,6,71,894542.1,1038824.0,217.0,94.0
2012-06-01,2012-09,1,115400,4,60,904104.7,1023623.0,217.0,94.0
2012-06-03,2012-09,1,67701,9,31,897730.5,1015083.0,311.0,150.0
2012-06-09,2012-09,-1,71013,4,35,0.0,0.0,328.0,172.0
2012-06-10,2012-09,1,67701,2,43,877573.3,1016276.0,317.0,222.0
2012-06-13,2012-09,1,101000,9,38,889815.5,1022041.0,278.0,144.0
2012-06-14,2012-09,1,264100,3,15,889421.3,1004653.0,311.0,161.0
2012-06-14,2012-09,1,51312,3,18,898737.3,1002540.0,311.0,161.0
2012-06-15,2012-09,1,264100,1,2,888115.9,985372.3,339.0,194.0
2012-06-16,2012-09,1,121000,3,21,902707.6,1010535.0,356.0,217.0
2012-06-16,2012-09,1,266999,3,21,902707.6,1010535.0,356.0,217.0
2012-06-17,2012-09,1,266999,8,55,890685.2,1034532.0,328.0,211.0
2012-06-18,2012-09,1,115100,9,59,898267.1,1024577.0,350.0,250.0
2012-06-19,2012-09,1,65701,9,39,887817.9,1016664.0,339.0,250.0
2012-06-20,2012-09,1,64701,4,0,0.0,0.0,350.0,239.0
2012-06-22,2012-09,1,115100,9,28,891893.4,1014228.0,300.0,194.0
2012-06-23,2012-09,1,67601,3,24,897628.4,1009479.0,311.0,189.0
2012-06-25,2012-09,1,69602,1,1,0.0,0.0,322.0,206.0
2012-06-25,2012-09,-1,65701,1,1,0.0,0.0,322.0,206.0
2012-06-27,2012-09,1,264100,3,23,899743.7,1010023.0,372.0,189.0
2012-06-29,2012-09,1,69702,9,28,890373.1,1015072.0,411.0,250.0
2012-06-30,2012-09,1,266999,4,61,904775.8,1021367.0,406.0,256.0
2012-07-01,2012-09,1,65701,5,60,904173.3,1027127.0,389.0,261.0
2012-07-01,2012-09,1,115400,6,74,896454.3,1050395.0,389.0,261.0
2012-07-01,2012-09,1,91113,9,38,889330.6,1021002.0,389.0,261.0
2012-07-01,2012-09,1,142320,2,13,882564.6,1008801.0,389.0,261.0
2012-07-01,2012-09,1,63701,3,19,898162.7,1002525.0,389.0,261.0
2012-07-02,2012-09,1,117000,9,38,888580.9,1025734.0,378.0,250.0
2012-07-04,2012-09,1,67701,2,9,877347.9,1006670.0,406.0,283.0
2012-07-04,2012-09,1,266999,4,61,904839.7,1022954.0,406.0,283.0
2012-07-04,2012-09,1,266999,4,34,905859.9,1013430.0,406.0,283.0
